SCAN Output\bearings.mds                                                                                 
file_id:  15May 5 8L5 LWPM 2.1 c:\lwpcv21\output\bearings.mds
          ***
          ***
prgm_id:  LWPM 2.1
case_id:  OMEGA coverage of the Mediterranean
prfl_id:  LWPM Date: 04/15/84:2200                
xmtr_id                tlat    tlon   freq
omega-d                46.4    98.3   10.2
path_id                lat1    lon1   lat2    lon2
Bearings                0.0     0.0    0.0     0.0
bearng   rlat    rlon    rrho
  24.0   99.0     0.0      0.
mds    lat     lon    rho    azim    dip bfield   sigma epsr  beta   hpr  ndx
  4   46.4    98.3      0.   16.0   73.9  0.565  1.E-02  15.  0.30  74.0    7.
  4   49.8    96.0    420.   20.0   76.7  0.576  1.E-03  15.  0.30  74.0    7.
  4   54.6    91.9   1020.   29.4   80.3  0.584  3.E-04  10.  0.30  74.0    7.
  4   55.5    91.0   1140.   32.0   80.9  0.584  3.E-03  15.  0.30  74.0    7.
  4   57.1    89.3   1340.   37.1   81.8  0.584  4.E+00  81.  0.30  74.0    7.
  4   64.8    77.7   2400.   78.8   84.3  0.569  3.E-04  10.  0.30  74.0    7.
  4   65.6    76.0   2520.   83.9   84.3  0.567  4.E+00  81.  0.30  74.0    7.
  4   66.9    72.9   2720.   91.7   84.2  0.562  3.E-04  10.  0.30  74.0    7.
  4   67.0    72.5   2740.   92.4   84.2  0.561  4.E+00  81.  0.30  74.0    7.
  4   67.2    72.2   2760.   93.1   84.2  0.561  3.E-04  10.  0.30  74.0    7.
  4   68.1    69.4   2920.   98.4   84.0  0.557  1.E-05   5.  0.30  74.0    7.
  4   68.6    67.9   3000.  100.8   83.8  0.555  4.E+00  81.  0.30  74.0    7.
  4   71.5    55.2   3580.  112.9   82.8  0.540  1.E-04  10.  0.30  74.0    7.
  4   71.8    53.6   3640.  113.8   82.7  0.538  4.E+00  81.  0.30  74.0    7.
  4   71.9    52.6   3680.  114.3   82.6  0.537  1.E-04  10.  0.30  74.0    7.
  4   72.1    51.6   3720.  114.9   82.5  0.536  1.E-05   5.  0.30  74.0    7.
  4   73.7    23.7   4640.  122.1   80.7  0.518  1.E-04  10.  0.30  76.2    8.
  4   73.6    20.5   4740.  122.6   80.5  0.516  4.E+00  81.  0.30  76.2    8.
  4   73.5    16.1   4880.  123.3   80.2  0.514  4.E+00  81.  0.30  78.3    9.
  4   73.0     8.8   5120.  124.3   79.7  0.511  4.E+00  81.  0.30  80.5   10.
  4   68.7   -15.1   6100.  129.1   77.4  0.504  3.E-03  15.  0.30  80.5   10.
  4   67.2   -19.8   6360.  130.7   76.7  0.503  1.E-03  15.  0.30  80.5   10.
  4   65.9   -23.0   6560.  131.9   76.1  0.502  4.E+00  81.  0.30  80.5   10.
  4   65.0   -25.0   6700.  132.8   75.7  0.502  1.E-03  15.  0.30  80.5   10.
  4   64.4   -26.1   6780.  133.4   75.5  0.502  3.E-03  15.  0.30  80.5   10.
  4   63.0   -28.7   6980.  134.8   74.8  0.501  1.E-02  15.  0.30  80.5   10.
  4   62.2   -30.1   7100.  135.6   74.4  0.501  3.E-03  15.  0.30  80.5   10.
  4   61.5   -31.3   7200.  136.4   74.1  0.500  1.E-02  15.  0.30  80.5   10.
  6   61.2   -31.7   7240.  136.6   73.9  0.500  1.E-02  15.  0.30  82.7   11.
  6   60.4   -32.8   7340.  137.4   73.6  0.500  3.E-03  15.  0.30  82.7   11.
  6   59.4   -34.2   7480.  138.4   73.0  0.499  3.E-02  15.  0.30  82.7   11.
  6   57.9   -36.0   7680.  139.9   72.2  0.498  1.E-02  15.  0.30  82.7   11.
  6   57.4   -36.6   7740.  140.3   72.0  0.498  1.E-02  15.  0.30  84.8   12.
  6   54.9   -39.2   8060.  142.7   70.5  0.496  3.E-02  15.  0.30  84.8   12.
  6   54.0   -40.1   8180.  143.6   70.0  0.495  1.E-02  15.  0.30  87.0   13.
  6   44.9   -46.9   9300.  150.9   63.2  0.481  4.E+00  81.  0.30  87.0   13.
  6   44.4   -47.2   9360.  151.2   62.7  0.480  1.E-02  15.  0.30  87.0   13.
  6   43.8   -47.5   9440.  151.7   62.1  0.479  4.E+00  81.  0.30  87.0   13.
  6   41.4   -48.9   9720.  153.2   59.9  0.473  1.E-02  15.  0.30  87.0   13.
  6   41.1   -49.0   9760.  153.4   59.6  0.472  4.E+00  81.  0.30  87.0   13.
  6   40.9   -49.1   9780.  153.5   59.4  0.472  1.E-02  15.  0.30  87.0   13.
  6   40.1   -49.6   9880.  154.0   58.5  0.469  4.E+00  81.  0.30  87.0   13.
  6   36.9   -51.1  10260.  155.7   55.0  0.460  3.E-03  15.  0.30  87.0   13.
  6   30.6   -53.8  11000.  158.6   46.7  0.438  3.E-03  15.  0.30  87.0   13.
      99.0
bearng   rlat    rlon    rrho
  48.0   99.0     0.0      0.
mds    lat     lon    rho    azim    dip bfield   sigma epsr  beta   hpr  ndx
  4   46.4    98.3      0.   40.0   73.9  0.565  1.E-02  15.  0.30  74.0    7.
  4   47.8    95.9    240.   43.9   75.3  0.571  1.E-03  15.  0.30  74.0    7.
  4   52.3    86.5   1080.   63.6   78.8  0.579  1.E-02  15.  0.30  74.0    7.
  4   53.1    84.5   1240.   68.4   79.2  0.578  3.E-03  15.  0.30  74.0    7.
  4   54.0    81.9   1440.   74.6   79.6  0.577  4.E+00  81.  0.30  74.0    7.
  4   54.8    79.4   1620.   80.4   79.8  0.575  1.E-04  10.  0.30  74.0    7.
  4   55.1    78.3   1700.   83.0   79.8  0.574  4.E+00  81.  0.30  74.0    7.
  4   55.2    77.7   1740.   84.2   79.9  0.573  1.E-04  10.  0.30  74.0    7.
  4   58.0    64.2   2620.  107.8   78.8  0.554  3.E-04  10.  0.30  74.0    7.
  4   58.3    62.2   2740.  110.2   78.6  0.551  4.E+00  81.  0.30  74.0    7.
  4   59.1    43.2   3840.  123.6   75.4  0.519  4.E+00  81.  0.30  76.2    8.
  4   58.9    39.7   4040.  124.9   74.8  0.514  4.E+00  81.  0.30  78.3    9.
  4   58.7    35.9   4260.  126.1   74.1  0.508  4.E+00  81.  0.30  80.5   10.
